,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
944,20,Female,5,720,West,9,5,No,3,-7.702082774704235,15.03059580600068
945,65,Female,5,900,East,9,4,No,1,-7.860902510413894,15.427741529814126
946,50,Female,3,2400,East,8,4,No,5,-7.861996229794503,15.430520607147324
947,55,Male,2,2600,West,9,3,No,2,-8.669676804746178,-822.9289521787605
948,49,Female,3,1100,East,8,4,No,2,-7.861719358181555,15.429816934591308
949,71,Male,3,2000,West,4,3,Yes,6,-7.839664289751546,15.373858330796024
950,54,Female,5,1200,West,9,4,Yes,6,-7.857473927270284,15.419035395095753
951,45,Female,4,450,West,10,5,Yes,6,-7.569636445907875,14.703068594525528
952,84,Male,5,1800,East,10,4,No,3,-7.821040993906228,15.3267745651401
953,58,Female,3,1700,East,6,3,No,1,-7.768834048612843,15.194385854869177
954,47,Male,5,2375,East,7,3,No,2,-7.860985456111872,15.42795178351696
955,66,Female,5,488,East,5,4,Yes,2,-7.1982503174211265,13.762593151169222
956,82,Male,2,1063,East,8,3,No,6,-7.862647319037928,15.432175083273737
957,37,Male,5,3500,West,10,5,No,6,-6.439063938793358,24.647452135040453
958,51,Male,2,1900,West,8,3,No,9,-7.862815775735007,15.432603233345064
959,58,Female,2,1500,West,4,2,No,5,-7.777878315545633,15.217523904342427
960,82,Male,5,1500,East,8,3,No,3,-7.748253991041933,15.142485450101614
961,86,Male,2,1500,West,9,3,No,3,-7.7443969318185735,15.132715295788834
962,81,Female,3,1100,West,9,4,Yes,3,-7.859683134914149,15.424641989262067
963,58,Male,2,1650,West,8,3,No,3,-7.723723254178245,15.08018054515527
964,64,Female,3,450,East,9,3,No,6,-7.6020106477508245,14.783893157749338
965,34,Male,3,1600,East,9,5,No,5,-7.802672682427025,15.280243860095934
966,48,Male,5,4000,West,7,1,Yes,5,-0.966583422173116,551.5045923867043
967,49,Male,5,2000,West,7,4,No,2,-7.848425999875724,15.396094078070684
968,51,Female,4,813,West,9,4,No,6,-7.402251078625586,14.277174017982286
969,82,Male,3,2625,West,8,3,No,6,-8.706093423409506,-815.1834642202801
970,66,Female,3,1000,East,9,5,No,6,-7.860001212546025,15.425450657126325
971,74,Male,2,1450,West,4,4,No,9,-7.771127792582962,15.200021176586878
972,72,Male,2,760,West,5,3,No,9,-7.589159078498964,14.74688627988464
973,24,Male,2,1800,West,7,4,Yes,1,-7.820795801728456,15.32617129523393
974,54,Female,2,1100,West,10,3,No,3,-7.861823942388823,15.430082727530722
975,29,Female,5,650,East,8,5,No,1,-7.683354974481747,14.983167282485418
976,61,Female,2,420,West,8,4,No,2,-7.660572209414675,14.92982679787532
977,52,Female,4,1700,West,9,5,Yes,2,-7.774749072991912,15.209384249688108
978,55,Female,3,1800,West,7,3,No,1,-7.829997699696283,15.349483012325983
979,49,Male,2,2400,East,9,4,Yes,6,-7.861971743056161,15.430458375275007
980,52,Female,3,1300,East,7,4,No,3,-7.814721050038171,15.310638618214613
981,50,Female,5,2000,West,8,5,Yes,2,-7.84825528347375,15.395660970319732
982,20,Male,5,688,West,7,4,No,5,-7.707872613829905,15.044997562015759
983,82,Female,2,1500,West,10,3,No,6,-7.7476489099092545,15.140952749922617
984,75,Female,3,360,West,8,4,No,2,-7.652664176968948,14.907333304090512
985,66,Female,5,650,West,10,5,No,2,-7.669871873328657,14.949160853657318
986,80,Male,2,1625,West,10,2,Yes,6,-7.7242809652941755,15.0815856852349
987,48,Male,5,2200,East,7,4,Yes,1,-7.841546051657197,15.37865128371929
988,28,Female,5,1990,East,8,4,Yes,1,-7.842587669542917,15.381270038184324
989,60,Male,5,620,East,7,3,No,2,-7.602652308981525,14.77993361960833
990,37,Female,2,983,West,7,5,No,6,-7.8625958995898895,15.432044384243225
991,49,Female,3,1400,West,9,4,No,6,-7.829590821018402,15.348349065727353
992,63,Female,3,820,West,10,3,No,6,-7.449667987689153,14.396340144338186
993,52,Male,3,700,West,8,2,No,9,-7.707845577786081,15.044860958659942
994,46,Female,2,450,West,10,5,No,9,-7.570433897386624,14.705058319975075
995,35,Male,3,1063,East,10,4,No,11,-7.863007596677192,15.433090775005526
996,36,Male,5,2300,East,8,4,No,6,-7.807563143663587,15.292417282788906
997,60,Female,3,450,West,9,4,Yes,2,-7.593488889997959,14.762620912513746
998,47,Male,4,4500,East,8,4,No,6,7.581347653162944,1150.176837165423
999,68,Female,5,1000,West,9,2,Yes,6,-7.859877353882042,15.425135896271465
