,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
2311,manual,few,midsize,1986,31.0,39.0,2.0008,32.29751461973173,-3.1128278171128785
2549,manual,medium,small,1986,15.0,24.0,2.8372,5.888678395855155,11.10371448776055
23032,auto,medium,large,2008,13.0,18.0,4.7,-17.02251054228093,-5.211681629725121
17594,auto,medium,midsize,2003,15.0,21.0,3.2,-8.759806685372748,-6.018924068080616
19915,auto,medium,midsize,2005,15.0,20.0,4.8,-11.533871015440015,-7.155811668828465
15190,auto,medium,small,2001,18.0,26.0,2.3,-0.4864273664974122,-8.244595215943301
1132,manual,medium,large,1985,16.0,20.0,6.2156,4.119056105520477,14.593497739112209
22785,auto,medium,midsize,2008,15.0,22.0,5.5,-12.040124630090649,-10.811934135539147
12361,manual,medium,small,1997,16.0,24.0,4.6084,-1.3290427515044285,-0.9399444337009687
10022,lock-up,few,midsize,1994,21.0,27.0,1.8204,8.595343520830163,-1.447461479826703
774,lock-up,few,large,1985,18.0,25.0,2.4764,10.271517572149204,10.060629485466965
7686,manual,few,small,1991,26.0,33.0,1.476,19.004788098199736,-2.2382107935996522
6291,lock-up,few,midsize,1990,18.0,26.0,1.9844,6.627476215262004,4.473730875612938
23178,auto,medium,midsize,2008,15.0,22.0,3.6,-12.508958526276176,-10.943865395738355
10538,manual,few,small,1995,25.0,31.0,1.7712,14.033825201104836,-4.897716363287829
7642,lock-up,medium,small,1991,17.0,23.0,2.9684,2.0921536869865665,6.5945692189571155
22842,auto,medium,large,2008,13.0,20.0,3.9,-16.148818720916367,-6.800704386276834
15867,manual,medium,small,2002,15.0,21.0,3.2,-8.81591013195152,-4.740193020908816
18927,manual,medium,midsize,2004,17.0,20.0,2.5,-9.283560899067295,-8.034665765007464
22320,auto,medium,midsize,2007,13.0,17.0,4.2,-18.5370607762457,-3.6480387556574128
7463,lock-up,medium,large,1991,11.0,16.0,5.2152,-9.168470631660771,16.36572505036231
12941,auto,few,midsize,1998,22.0,31.0,2.0,11.189424802929386,-10.953776758486002
5884,manual,few,small,1989,15.0,22.0,1.3119999999999998,3.2616766630297103,9.181411433657388
17701,auto,medium,midsize,2003,13.0,17.0,5.3,-15.321857081016175,3.0399211030661095
2662,lock-up,medium,small,1986,15.0,23.0,2.9684,4.981395975374683,11.676499911427932
8075,lock-up,medium,midsize,1992,15.0,23.0,5.002,0.6371447980401074,4.786704846963836
6968,manual,few,small,1991,26.0,33.0,1.5908,19.0083195040491,-2.238363309711209
358,lock-up,medium,large,1985,15.0,21.0,4.9528,5.988197620802423,13.7945903398165
21035,auto,medium,midsize,2006,14.0,17.0,4.7,-18.92950617855529,-2.7679570504408266
6096,manual,few,small,1990,26.0,36.0,1.6072,22.03631322836947,-3.373067165594412
19421,manual,medium,midsize,2005,17.0,24.0,3.0,-6.403968378751973,-9.7983650791575
20693,manual,few,large,2006,21.0,26.0,2.3,-1.0462330006961476,-14.939725405957752
19274,manual,few,small,2005,23.0,32.0,1.6,6.234850055397607,-17.80550466705517
4658,lock-up,medium,large,1988,14.0,16.0,2.9684,-3.4123720582879433,14.509406269596914
6963,lock-up,medium,small,1991,15.0,17.0,2.4928,-2.300851048813735,11.344308199562882
10344,manual,medium,small,1994,17.0,26.0,3.1324,4.311033760307717,0.5328619011688741
22716,auto,medium,midsize,2008,15.0,24.0,4.6,-11.010834792501514,-12.221956132987565
5760,manual,few,small,1989,21.0,26.0,1.5908,9.71157204436565,3.324798795787635
11813,lock-up,few,small,1996,23.0,33.0,1.9024,14.560682012006769,-6.720423358340875
18885,auto,medium,midsize,2004,11.0,15.0,4.6,-19.56166779230135,3.1264342035454655
6569,manual,medium,large,1990,11.0,15.0,5.74,-7.4581540869505725,16.9390659008758
14494,auto,medium,midsize,2000,18.0,24.0,3.0,-1.9452301871758764,-5.379434636670385
18736,auto,medium,midsize,2004,15.0,20.0,4.0,-10.669259565742932,-5.811378591996574
11692,lock-up,medium,large,1996,11.0,16.0,4.9528,-14.04192970357899,8.450450255708347
6299,lock-up,few,midsize,1990,16.0,22.0,2.3124,2.687238949735661,8.140308869668619
11882,lock-up,medium,large,1996,11.0,16.0,5.7564,-14.831887678576303,8.798643662850017
20696,auto,medium,large,2006,15.0,20.0,4.0,-12.021187787800583,-7.59066698825029
11291,manual,medium,small,1996,17.0,25.0,2.7716,1.7895717856132745,-1.78405750765849
17938,auto,medium,small,2004,17.0,24.0,3.9,-5.838411539383525,-8.803980926733912
1219,auto,medium,large,1985,10.0,12.0,5.904,-9.274758693074345,22.65417607149468
22090,auto,medium,midsize,2007,15.0,20.0,3.7,-13.052372044972,-8.172068376282
21231,auto,few,small,2007,19.0,26.0,2.4,-4.545402506770146,-14.334687990369973
5149,lock-up,few,large,1989,19.0,29.0,2.46,12.475797417835508,0.8653262571925904
13863,manual,medium,large,1999,11.0,16.0,5.2,-14.243889252208652,6.663750257987593
22775,auto,medium,midsize,2008,17.0,24.0,3.5,-8.792649674958527,-12.512575545289872
